
 Dialogue Num: 0 ||| Ground Truth [0], Predicted Label 1, Attention Words: <PAD> am to | am looking for a place to to stay that has cheap price range it should be in a type of hotel                      

 Dialogue Num: 0 ||| Ground Truth [0], Predicted Label 7, Attention Words: <PAD> should it | okay do you have a specific area you want to stay in it should be in a type of hotel                      

 Dialogue Num: 0 ||| Ground Truth [0], Predicted Label 2, Attention Words: <PAD> in type | no i just need to make sure its cheap oh and i need parking be in a type of hotel                      

 Dialogue Num: 0 ||| Ground Truth [0], Predicted Label 2, Attention Words: <PAD> of i | i found 1 cheap hotel for you that includes parking do you like me to book it type of hotel                      

 Dialogue Num: 0 ||| Ground Truth [0], Predicted Label 7, Attention Words: you <PAD> hotel | yes please 6 people 3 nights starting on tuesday do you like me to book it type of hotel                      

 Dialogue Num: 0 ||| Ground Truth [0], Predicted Label 4, Attention Words: <PAD> for am | i am sorry but i wasn ##t able to book that for you for tuesday is there another day you would like to stay                      

 Dialogue Num: 0 ||| Ground Truth [0], Predicted Label 2, Attention Words: able <PAD> you | how about only 2 nights ##t able to book that for you for tuesday is there another day you would like to stay                      

 Dialogue Num: 0 ||| Ground Truth [0], Predicted Label 2, Attention Words: to <PAD> ##6 | booking was successful ##re ##ference number is 7 ##ga ##wk ##7 ##6 ##3 anything else i can do for you like to stay                      

 Dialogue Num: 0 ||| Ground Truth [0], Predicted Label 7, Attention Words: stay ##wk <PAD> | no that will be all good bye ##ga ##wk ##7 ##6 ##3 anything else i can do for you like to stay                      

 Dialogue Num: 1 ||| Ground Truth [1], Predicted Label 0, Attention Words: stay for police | hello i have been robbed can you please help me get in touch with the police do for you like to stay                      

 Dialogue Num: 1 ||| Ground Truth [1], Predicted Label 4, Attention Words: ##ide parks ##ide | parks ##ide police station is in parks ##ide cambridge their number is 01 ##22 ##33 ##58 ##9 ##66 anything else i can do for                      

 Dialogue Num: 1 ||| Ground Truth [1], Predicted Label 0, Attention Words: is i number | can i please have the post ##code as well number is 01 ##22 ##33 ##58 ##9 ##66 anything else i can do for                      

 Dialogue Num: 1 ||| Ground Truth [1], Predicted Label 0, Attention Words: for station is | the post ##code for the parks ##ide police station is cb ##11 ##j ##g can i help you with anything else do for                      

 Dialogue Num: 1 ||| Ground Truth [1], Predicted Label 7, Attention Words: anything <PAD> station | was parks ##ide the address of the police station if not can i have the address please with anything else do for                      

 Dialogue Num: 1 ||| Ground Truth [1], Predicted Label 0, Attention Words: <PAD> else station | yes parks ##ide is the address police station if not can i have the address please with anything else do for                      

 Dialogue Num: 1 ||| Ground Truth [1], Predicted Label 7, Attention Words: else not <PAD> | thank you that will be all for now if not can i have the address please with anything else do for                      

 Dialogue Num: 1 ||| Ground Truth [1], Predicted Label 7, Attention Words: <PAD> have else | great thank you for contact ##ing cambridge town ##in ##fo centre i have the address please with anything else do for                      

 Dialogue Num: 1 ||| Ground Truth [1], Predicted Label 7, Attention Words: do <PAD> cambridge | you were great goodbye ##ing cambridge town ##in ##fo centre i have the address please with anything else do for                      

 Dialogue Num: 2 ||| Ground Truth [0], Predicted Label 7, Attention Words: else address <PAD> | i need to book a hotel in the east that has 4 stars the address please with anything else do for                      

